"Cap waktu","Nama Mitra Distribusi","Narasumber KOL","Alamat medsos narasumber KOL","Tanggal pengunggahan konten","Jam pelaksanaan","Jumlah follower","Kategori narasumber KOL","Track record narasumber KOL","Konten SBR011 yang disampaikan sesuai dengan memorandum informasi","Konten mengandung tautan ke landing page Kemenkeu","Jumlah komentar","Jumlah like","Bentuk kegiatan","Media sosial yang digunakan","Unggah files","Bentuk konten yang diunggah"
"2022/06/09 4:16:36 PM GMT+7","Commonwealth","Melvin Mumpuni x Finansialku","https://www.instagram.com/p/CeDdeE9P5Kp/?igshid=YmMyMTA2M2Y=","2022-05-27","16:15","Mid-Tier (50k - 500k)","Professional","Bersih","Sesuai","Tidak sesuai","19 ","437","Storytelling","Instagram","https://drive.google.com/u/0/open?usp=forms_web&id=1kh8fyBMw3hNZoefBCs9iyL63E7QKh9_m;https://drive.google.com/u/0/open?usp=forms_web&id=174hd6L6V2Cu7lYWukshFCSzb84Eh88xE;https://drive.google.com/u/0/open?usp=forms_web&id=1P0i5kyplm3e5u8VMlIAbZ8vNYpCNqrKe;https://drive.google.com/u/0/open?usp=forms_web&id=1dcB7E1ywWHzz8uJiRtmCOxXy3tqLK_Oq;https://drive.google.com/u/0/open?usp=forms_web&id=14M-wUi_gHa7dh9yr9Mg2RZWt8RiSSWFz","Post (foto)"
"2022/06/10 3:20:30 PM GMT+7","Modalku","Lolita Setyawati CFP ","https://instagram.com/lolitainc?igshid=YmMyMTA2M2Y=","2022-06-08","15:09","Micro (10k - 50k)","Professional","Bersih","Sesuai","Tidak sesuai","9 ","38","Storytelling","Instagram","https://drive.google.com/u/0/open?usp=forms_web&id=1wVIqRql5mt5B4PU4uLrTGpMzn8KlSvfM;https://drive.google.com/u/0/open?usp=forms_web&id=1pe9pRwd94xOB4VusmmZeFHPGFjdwMg5B","Post (foto)"
"2022/06/10 3:31:39 PM GMT+7","Bank BTN","Samuel Ray","https://www.instagram.com/srl789","2022-06-10","12:30","Mid-Tier (50k - 500k)","Professional","Bersih","Sesuai","Tidak sesuai","1","115","Storytelling","Instagram","https://drive.google.com/u/0/open?usp=forms_web&id=17clmx4BNixV3YwhTovpTANnC9sxJwsmo;https://drive.google.com/u/0/open?usp=forms_web&id=1W9neR6BHMYtY2FA-d38L_a_vn8JoLoIr","Post (foto)"
"2022/06/10 3:37:45 PM GMT+7","Koinworks","Vina Muliana","https://www.instagram.com/vinamuliana/","2022-05-23","15:33","Mid-Tier (50k - 500k)","Professional","Bersih","Sesuai","Tidak sesuai","124","19652","Storytelling","Instagram","https://drive.google.com/u/0/open?usp=forms_web&id=1LtyClPkeoCftqcI-C6OlvYfJjjB9JC3S;https://drive.google.com/u/0/open?usp=forms_web&id=1_hS8pz6Fh25WEhjcgHDHaFDvRD6YKAOw","Reels"
"2022/06/10 4:15:47 PM GMT+7","Bank BNI","Sigiwimala","https://instagram.com/sigiwimala","2022-06-03","16:09","Mid-Tier (50k - 500k)","Professional","Bersih","Sesuai","Tidak sesuai","2","332","Aja","Persuasif","https://drive.google.com/u/0/open?usp=forms_web&id=1UG7lESUjeZq0w7Yj7vhoCR4oeEziE3Xo;https://drive.google.com/u/0/open?usp=forms_web&id=1h0POSV-47-HI-4HyAecOLn1zMcyD0coP","Post (foto)"
"2022/06/13 1:27:09 PM GMT+7","Fundtastic+","dewi andarini","https://instagram.com/dewiandarini","2022-06-10","16:00","Micro (10k - 50k)","Professional","Bersih","Sesuai","Sesuai","0","34","Post Feed IG dan Story IG","Instagram","https://drive.google.com/u/0/open?usp=forms_web&id=1le_DqbTY9Fm0pheNFiEzll1w2W8VTh1o","Post (foto)"
"2022/06/17 8:40:04 AM GMT+7","Bank Permata","Morgan Oey","https://instagram.com/morganoey","2022-06-11","08:33","Mid-Tier (50k - 500k)","Professional","Bersih","Sesuai","Tidak sesuai","8","1061","Storytelling","Instagram","https://drive.google.com/u/0/open?usp=forms_web&id=1v2Ep0FGZw2gGYUTvBuVeupVR3y_kjwuz;https://drive.google.com/u/0/open?usp=forms_web&id=1e8kmUnBPkNQHmF4Nvi-JxezCoJhlt3ct","Post (foto)"
"2022/06/17 9:39:29 AM GMT+7","Tanamduit","@fayyyzq","https://vt.tiktok.com/ZSd7HqEW3/?k=1","2022-06-10","10:00","Mid-Tier (50k - 500k)","Student","Bersih","Sesuai","Tidak sesuai","10","328","Storytelling","Tik-Tok","https://drive.google.com/u/0/open?usp=forms_web&id=15j0aZiONHDnuCm-z-3ofE0J_-szfuz9H;https://drive.google.com/u/0/open?usp=forms_web&id=1geLkhHbxP6vh78f-z4-oxL3V61kW5DRg","Konten tiktok"
