"id","ownerId","ownerIsVerified","ownerProfilePicUrl","ownerUsername","position","postId","shortCode","text","timestamp"
"17948686921843759","8242551902","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/283633270_1379389692573296_3117087077311260336_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=F1YzvxBdUz8AX8jOpcn&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT-2mYLu-2J8ecZOYpzySehB64jCQaRShLAJ--YF9UBjrA&oe=62C23891&_nc_sid=83d603","siputra_fanboy","4","CeprAmYvHaY","CeprAmYvHaY","🔥🔥🔥🔥","2022-06-11T08:16:12.000Z"
"18209216647152169","45212809203","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/280615878_1377462759325833_7752605992702338079_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=qhgj0-q172IAX-gea6Z&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT8aG3d4A-i9P-fTHS4zK7Wu52TXFpDtW8HRrnk7fajc-Q&oe=62C289FA&_nc_sid=83d603","oneokyurokyu","5","CeprAmYvHaY","CeprAmYvHaY","Cakep banget astaga😍😍","2022-06-11T05:03:35.000Z"
"17961882709736210","50579023641","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/289695828_809918409997382_5289364803809407486_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=G7MRdVOQProAX8EmyDT&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT_nWk4ZTRmhkfQKTe9nffFWuZj51MEsT21TIKciM1TXjQ&oe=62C0A9C6&_nc_sid=83d603","maghfiroh__mahaputri","6","CeprAmYvHaY","CeprAmYvHaY","Semangat Abanggg...","2022-06-11T05:02:46.000Z"
"18273438523075774","5934300479","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/275048867_3227530367493103_4291622873223267517_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Th0e7Q01hlgAX9uElzf&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT-8vmO0PS-ZdPcvXc_AoWn3kcb5iWNg3yKlMhzXwMd5NA&oe=62C27E16&_nc_sid=83d603","callmeuted","7","CeprAmYvHaY","CeprAmYvHaY","kenapa ganteng bgt si kamuuu😍❤️","2022-06-11T04:57:55.000Z"
"17861051636747549","6242896390","false","https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/78790068_564337244349343_1613751506689851392_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=U1hZzN-dSogAX8M_lO9&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT8W4SqVaIMnQ6nmzDbfBNXlyu2fS2TzFxECL-gzl-7SiA&oe=62C18D15&_nc_sid=83d603","ionnovi","8","CeprAmYvHaY","CeprAmYvHaY","Persyaratannya apa aja kak morgan?","2022-06-11T04:35:54.000Z"
"18037295557354679","5525286","false","https://instagram.ftpe14-1.fna.fbcdn.net/v/t51.2885-19/281246022_331134025810547_832139344909471273_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe14-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=tT4uzyjjy9MAX9dqgRa&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT8Ht8hmWxwUp7cDiGepAWLmXeOTvghlofj-gyAaUWKZzw&oe=62C0AE13&_nc_sid=83d603","kangd3ni","1","CeU9eIupabE","CeU9eIupabE","Konten yg OK banget. Terima kasih telah turut mengedukasi publik ttg SBN ritel, khususnya #SBR011 #PilihanBerharga untuk hidup lebih bermakna","2022-06-05T11:28:49.000Z"
"17870263712683797","46775443015","false","https://instagram.ftpe14-1.fna.fbcdn.net/v/t51.2885-19/167322578_4317594198271892_7953030426565262656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe14-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ky9Ja77e8VsAX_xmdiz&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT-mEgqH3rzqW86_apaInQTBTrRqJHytiWOXqmQoD0yc0w&oe=62C0CB3E&_nc_sid=83d603","lukasliwu","2","CeU9eIupabE","CeU9eIupabE","Cantiik banget","2022-06-03T03:15:13.000Z"
"17925604412347300","1930081315","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/70127967_373837743556817_9138613653291925504_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=h7phoVXT80sAX8PwGIl&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT98MVS44s25L4fhlTjc2xBtlxE-miEDYTfXxSQxJUDorg&oe=62C128D7&_nc_sid=83d603","dimitris_69_alexander","1","CeDdeE9P5Kp","CeDdeE9P5Kp","Saya melihat banyak orang memberikan kesaksian tentang @danielle_exchange membantu mereka mendapatkan uang dalam jumlah besar dari perdagangan.  jadi saya pertama kali memutuskan untuk mencobanya dan mengejutkan saya 5 hari pertama saya menghasilkan lebih dari $ 11.000.  Jumlah yang sangat masuk akal yang bahkan tidak bisa saya dapatkan dari pekerjaan saya saat ini, saya kira seseorang mungkin membutuhkan bantuannya juga.  Saya tidak bisa berhenti membagikan kabar baik","2022-05-29T07:32:48.000Z"
"17983721956508332","40023498742","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/285114886_432830031621917_7081783482315409854_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=V0N0kXDEojcAX-xRvnP&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT8pMtnkjTWBMVGNIcPsrK4if-OLqHSx-ZjsiaUYSN093g&oe=62C1CC32&_nc_sid=83d603","hidayat.llah","2","CeDdeE9P5Kp","CeDdeE9P5Kp","Beli SBR pake perantara apa si? Bank? Broker sekuritas?","2022-05-29T04:30:26.000Z"
"18205094836199096","5586323960","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/273243982_519582762779333_545420272180245526_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=lssf52uZQ2UAX8WCUPL&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT_wGmnThZyZhFzPLgJFZNRiPBhMzLRClnKWiX05S0VcBg&oe=62C1737E&_nc_sid=83d603","airamirs","3","CeDdeE9P5Kp","CeDdeE9P5Kp","berarti kalau inves 1jt, pas balik lagi uangnya total 1.099.000 begitu kah?","2022-05-28T10:56:02.000Z"
"17931612644201645","4087879495","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/288319684_5062175607164174_8824068365983103782_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=sJPmp--kYH8AX_iq-Dm&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT9spRv-jpBLg3XmnwhzybYhN0dKR0a-dppff5rk1wRhMw&oe=62C16E44&_nc_sid=83d603","meta_propertyland","4","CeDdeE9P5Kp","CeDdeE9P5Kp","Klo inves 1jt dpt 99.000 itu totalnya slama 2 thn ya min?","2022-05-28T10:01:20.000Z"
"17939137379113938","1276099039","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/131229509_781392222446744_6897818383182717394_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EgypNXpZOAgAX-8cji8&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT8uCYorVQMRNFMwZb7lLhxzI_Mp7PPD2xVRSAPLqQBmSA&oe=62C0E98A&_nc_sid=83d603","hardiyantoifan","5","CeDdeE9P5Kp","CeDdeE9P5Kp","Lumayan apanya.. Kalah sama inflasi..","2022-05-28T09:11:01.000Z"
"17953672093856484","21508186575","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/277906554_126135583332735_4933638355422936165_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=WKKsvAP8o0QAX-wLlRi&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT-JtBneDxNHyN9ZmMY4309VjSw4bxJAgIy_BRSvIOcgOQ&oe=62C0A48C&_nc_sid=83d603","helen_ellhan","6","CeDdeE9P5Kp","CeDdeE9P5Kp","Tertarik minku,","2022-05-27T11:42:17.000Z"
"17940742156956342","178618934","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/272058259_325827579440464_2426004001842754201_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=v4MGzAzZ2owAX-Nkv37&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT-Qb0OedsEgthZvK-jGKgKnEBWTJsWjlGOzTEzyAP6weA&oe=62C1BFD8&_nc_sid=83d603","saptafebriandi","7","CeDdeE9P5Kp","CeDdeE9P5Kp","saham tula min","2022-05-27T08:08:21.000Z"
"18005612845393751","53600312354","false","https://instagram.fyhz1-1.fna.fbcdn.net/v/t51.2885-19/284084572_562654548867062_6608389868153034817_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fyhz1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UwZoU-iZVW0AX8zm-eT&edm=AABBvjUBAAAA&ccb=7-5&oh=00_AT-Vih3pCfKoVfHq73YbBSGULmzYgAfo6RHzvcIjUhrKQA&oe=62C1D3F9&_nc_sid=83d603","masbraamz","8","CeDdeE9P5Kp","CeDdeE9P5Kp","Menarik","2022-05-27T08:07:50.000Z"
